Date,Account,Region,Service,ResourceId,UsageType,UsageAmount,UsageUnit,Cost,Currency,Operation,API,AvailabilityZone,PurchaseOption,MeterId,Project,Environment,Tags,BillingPeriod,InvoiceId
2025-06-06,acct-1001,eu-west-1,EKS,eks-6290,TimedStorage-ByteHrs,770.403,requests,126.788,USD,GetObject,SDK,us-west-2a,Reserved,MID21718,projA,staging,owner:devops,2025-06,INV644227
2025-05-22,acct-1003,eu-west-1,SNS,sns-2408,Requests,66.476,requests,7.2817,USD,RunInstances,CLI,us-west-2a,OnDemand,MID63420,projB,dev,team:alpha,2025-05,INV504027
2025-01-29,acct-1001,us-east-1,SNS,sns-7682,BoxUsage,607.561,requests,40.4682,USD,DescribeInstances,REST,us-east-1b,OnDemand,MID28579,projB,staging,,2025-01,INV731170
2025-06-30,acct-1002,us-west-2,S3,s3-1203,GB-Months,717.34,GB,135.4078,USD,Invoke,REST,us-east-1b,Reserved,MID84711,projB,staging,owner:devops,2025-06,INV329831
2025-09-12,acct-1002,ap-northeast-1,DynamoDB,dynamodb-3357,DataTransfer-Out,,requests,,USD,GetObject,SDK,us-east-1b,Reserved,MID23550,projA,prod,team:alpha,2025-09,INV143076
2025-09-03,acct-1001,us-east-1,ECR,ecr-6001,DataTransfer-Out,154.596,GB,16.5921,USD,GetObject,CLI,us-east-1a,OnDemand,MID76897,projA,dev,costcenter:42,2025-09,INV985482
2025-06-24,acct-1003,us-west-2,CloudFront,cloudfront-1890,Requests,299.449,requests,27.4662,USD,PutObject,CLI,us-west-2a,Spot,MID26730,projC,staging,costcenter:42,2025-06,INV753255
2025-06-24,acct-1002,us-west-2,CloudFront,cloudfront-2980,TimedStorage-ByteHrs,432.253,requests,5.2267,USD,DescribeInstances,REST,eu-west-1a,OnDemand,MID62929,projB,prod,,2025-06,INV395426
2025-01-27,acct-1002,ap-northeast-1,DynamoDB,dynamodb-3904,DataTransfer-Out,486.227,requests,$50.8736,USD,RunInstances,CLI,eu-west-1a,Spot,MID70042,projA,staging,team:alpha,2025-01,INV804818
2025-05-22,acct-1002,us-east-1,CloudFront,cloudfront-1383,GB-Months,,requests,113.6433,USD,RunInstances,CLI,eu-west-1a,Reserved,MID55848,projB,prod,,2025-05,INV985812
2025-03-30,acct-1003,ap-south-1,DynamoDB,dynamodb-6594,BoxUsage,428.866,requests,46.4376,USD,RunInstances,CLI,eu-west-1a,Spot,MID14663,projB,dev,,2025-03,INV251455
